NP_387882.1	BSU00010	dnaA
NP_388108.1	BSU02260	cesB
NP_388109.1	BSU02270	pssA
NP_388110.1	BSU02280	ybfM
NP_388111.1	BSU02290	psd
NP_388112.1	BSU02300	ybfN
NP_388113.1	BSU02310	ybfO
NP_388114.1	BSU02320	ybfP
NP_388115.1	BSU02330	ybfQ
NP_388116.1	BSU02340	gltP
NP_388117.1	BSU02350	gamP
NP_388118.1	BSU02360	gamA
NP_388119.1	BSU02370	gamR
NP_388120.1	BSU02380	ybgB
NP_388121.1	BSU02390	ilvE
NP_388122.1	BSU02400	ybgF
NP_388123.1	BSU02410	ybgG
NP_388124.2	BSU02420	glnT
NP_388125.1	BSU02430	glsA
NP_388126.2	BSU02440	glnJ
NP_388127.1	BSU02450	glnL
NP_388128.2	BSU02460	kdgD
NP_388129.1	BSU02470	gucD
NP_388130.2	BSU02480	gudP
NP_388131.2	BSU02490	gudD
NP_388132.2	BSU02500	garR
NP_388133.2	BSU02510	garD
NP_388134.1	BSU02520	ycbJ
NP_388135.1	BSU02530	rtpA
NP_388136.1	BSU02540	ycbK
NP_388137.2	BSU02550	ycbL
NP_388138.2	BSU02560	ycbM
NP_388139.2	BSU02570	ycbN
NP_388140.3	BSU02580	ycbO
YP_009513940.1	BSU02585	NODATA
NP_388141.1	BSU02590	ycbP
NP_388142.2	BSU02600	cwlJ
NP_388143.2	BSU02610	ycbR
YP_003097673.1	BSU02619	yczK
NP_388144.2	BSU02620	phoD
NP_388145.2	BSU02630	tatAD
NP_388146.2	BSU02640	tatCD
NP_388147.1	BSU02650	pcp
NP_388148.2	BSU02660	ycbU
NP_388149.1	BSU02670	lmrB
NP_388150.1	BSU02680	lmrA
NP_388151.1	BSU02690	ansZ
NP_388152.1	BSU02700	estA
NP_388153.1	BSU02710	yczC
NP_388154.1	BSU02720	yccF
NP_388155.1	BSU02730	natK
NP_388156.1	BSU02740	natR
NP_388157.1	BSU02750	natA
NP_388158.1	BSU02760	natB
NP_388159.1	BSU02770	yccK
NP_388160.1	BSU02780	ycdA
YP_009513941.1	BSU02785	NODATA
NP_388161.1	BSU02790	ycdB
NP_388162.1	BSU02800	ycdC
NP_388163.1	BSU02810	cwlK
NP_388164.1	BSU02820	rapJ
NP_388165.1	BSU02830	ycdF
NP_388166.1	BSU02840	ycdG
NP_388167.1	BSU02850	znuA
NP_388168.1	BSU02860	znuC
NP_388169.1	BSU02870	znuB
NP_388170.2	BSU02880	yceB
NP_388171.1	BSU02890	yceC
NP_388172.1	BSU02900	yceD
NP_388173.1	BSU02910	yceE
NP_388174.1	BSU02920	yceF
NP_388175.1	BSU02930	yceG
NP_388176.1	BSU02940	yceH
NP_388177.1	BSU02950	niaP
NP_388178.1	BSU02960	yceJ
NP_388179.1	BSU02970	yceK
NP_388180.2	BSU02980	opuAA
NP_388181.1	BSU02990	opuAB
NP_388182.1	BSU03000	opuAC
NP_388183.2	BSU03010	amhX
NP_388184.2	BSU03020	ycgA
NP_388185.2	BSU03030	ycgB
NP_388186.2	BSU03040	amyE
NP_388187.2	BSU03050	lctE
NP_388188.2	BSU03060	lctP
NP_388189.2	BSU03070	mdr
NP_388190.2	BSU03080	ycgE
NP_388191.1	BSU03090	ycgF
NP_388192.2	BSU03100	ycgG
NP_388193.2	BSU03110	ycgH
NP_388194.3	BSU03120	ycgI
NP_388195.1	BSU03130	nadE
NP_388196.2	BSU03140	tmrB
NP_388197.2	BSU03150	aroK
NP_388198.2	BSU03160	ycgJ
NP_388199.2	BSU03170	ycgK
NP_388200.1	BSU03180	cah
NP_388201.1	BSU03190	ycgL
NP_388202.1	BSU03200	putB
NP_388203.2	BSU03210	putC
NP_388204.2	BSU03220	putP
NP_388205.2	BSU03230	putR
NP_388206.1	BSU03240	ycgQ
NP_388207.1	BSU03250	ycgR
NP_388208.1	BSU03260	ycgS
NP_388209.1	BSU03270	ffoR
NP_388210.1	BSU03280	nasF
NP_388211.1	BSU03290	nasE
NP_388212.1	BSU03300	nasD
NP_388213.2	BSU03310	nasC
NP_388214.2	BSU03320	nasB
NP_388215.2	BSU03330	nasA
NP_388216.2	BSU03340	folEB
NP_388217.2	BSU03350	yciB
YP_003097674.1	BSU03359	yczL
NP_388218.1	BSU03360	zinU
NP_388219.1	BSU03370	yckA
NP_388220.1	BSU03380	yckB
YP_009513942.1	BSU03385	NODATA
NP_388221.1	BSU03390	yckC
NP_388222.1	BSU03400	yckD
NP_388223.1	BSU03410	bglC
NP_388224.1	BSU03420	nin
NP_388225.3	BSU03430	nucA
NP_388226.2	BSU03440	tlpC
NP_388227.1	BSU03450	hxlB
NP_388228.1	BSU03460	hxlA
NP_388229.2	BSU03470	hxlR
NP_388230.2	BSU03480	srfAA
NP_388231.2	BSU03490	srfAB
NP_388232.1	BSU03500	comS
NP_388233.2	BSU03510	srfAC
NP_388234.1	BSU03520	srfAD
NP_388235.2	BSU03530	srfT
NP_388236.1	BSU03540	ycxB
NP_388237.2	BSU03550	ycxC
NP_388238.1	BSU03560	ycxD
NP_388240.2	BSU03580	yczE
NP_388241.2	BSU03590	tcyC
NP_388242.1	BSU03600	tcyB
NP_388243.2	BSU03610	tcyA
NP_388244.1	BSU03620	bsdA
NP_388245.1	BSU03630	ubiX
NP_388246.1	BSU03640	bsdC
YP_003097675.1	BSU03651	bsdD
NP_388247.2	BSU03652	yclD
NP_388248.2	BSU03660	yclE
NP_388249.2	BSU03670	dtpT
NP_388250.1	BSU03680	yclG
NP_388251.1	BSU03690	yczF
NP_388252.1	BSU03700	gerKA
NP_388253.1	BSU03710	gerKC
NP_388254.1	BSU03720	gerKB
NP_388255.1	BSU03730	yclH
NP_388256.2	BSU03740	yclI
NP_388257.1	BSU03750	yclJ
NP_388258.1	BSU03760	yclK
NP_388259.1	BSU03770	rapC
NP_388260.1	BSU03780	phrC
YP_003097676.1	BSU03788	yczM
YP_003097677.1	BSU03789	yczN
NP_388261.1	BSU03790	thrD
NP_388262.1	BSU03800	pbtN
NP_388263.1	BSU03810	pbtO
NP_388264.1	BSU03820	pbtP
NP_388265.1	BSU03830	pbtQ
NP_388266.1	BSU03840	ycnB
NP_388267.2	BSU03850	ycnC
NP_388268.1	BSU03860	nfrAB
NP_388269.1	BSU03870	ycnE
NP_388270.1	BSU03880	yczG
NP_388271.1	BSU03890	gabR
NP_388272.1	BSU03900	gabT
NP_388273.1	BSU03910	gabD
NP_388274.1	BSU03920	glcU
NP_388275.1	BSU03930	gdh
NP_388276.1	BSU03940	cutI
NP_388277.2	BSU03950	cutJ
NP_388278.1	BSU03960	cutR
NP_388279.1	BSU03970	ycnL
NP_388280.2	BSU03981	mtlA
YP_003097678.1	BSU03982	mtlF
NP_388281.2	BSU03990	mtlD
NP_388282.3	BSU04000	ycsA
NP_388283.1	BSU04010	sipU
NP_388284.2	BSU04020	yczH
NP_388285.2	BSU04030	ycsD
YP_003097679.1	BSU04039	yczO
NP_388286.2	BSU04040	ribZ
NP_388287.3	BSU04050	pxpA
NP_388288.3	BSU04060	pxpG
NP_388289.3	BSU04070	pxpI
NP_388290.2	BSU04080	pxpB
YP_054571.2	BSU04090	pxpC
NP_388291.2	BSU04100	pxpR
NP_388292.1	BSU04110	lipC
NP_388293.1	BSU04120	yczI
NP_388294.1	BSU04130	yczJ
NP_388295.1	BSU04140	pbpC
NP_388296.1	BSU04150	ycsN
NP_388297.1	BSU04160	mtlR
NP_388298.2	BSU04170	ydaB
NP_388299.1	BSU04180	ydaC
NP_388300.1	BSU04190	ydaD
NP_388301.1	BSU04200	lyxE
NP_388302.1	BSU04210	ydaF
NP_388303.1	BSU04220	ydaG
NP_388304.1	BSU04230	amj
NP_388305.1	BSU04240	ydzA
NP_388306.1	BSU04250	lrpC
NP_388307.1	BSU04260	topB
NP_388308.1	BSU04270	epsJ
NP_388309.1	BSU04280	epsK
NP_388310.1	BSU04290	ydaL
NP_388311.1	BSU04300	ydaM
NP_388312.1	BSU04310	ydaN
NP_388313.1	BSU04320	kimA
NP_388314.1	BSU04330	nudT
NP_388315.1	BSU04340	poxB
YP_009513943.1	BSU04345	NODATA
YP_003097680.1	BSU04359	ydzK
NP_388317.1	BSU04360	mntH
NP_388318.1	BSU04370	ydaS
NP_388319.1	BSU04380	ydaT
NP_388320.1	BSU04390	ydbA
NP_388321.1	BSU04400	gsiB
NP_388322.1	BSU04410	ydbB
NP_388323.1	BSU04420	ydbC
NP_388324.1	BSU04430	ydbD
NP_388325.1	BSU04440	dctB
NP_388326.1	BSU04450	dctS
NP_388327.1	BSU04460	dctR
NP_388328.1	BSU04470	dctP
NP_388329.1	BSU04480	ydbI
NP_388330.1	BSU04490	ydbJ
NP_388331.1	BSU04500	ydbK
NP_388332.1	BSU04510	ydbL
NP_388333.1	BSU04520	ydbM
NP_388334.1	BSU04530	fbpB
YP_009513944.1	BSU04536	fbpA
NP_388335.1	BSU04540	ydbO
NP_388336.1	BSU04550	ydbP
NP_388337.1	BSU04560	ddlA
NP_388338.1	BSU04570	murF
NP_388339.2	BSU04580	cshA
NP_388340.1	BSU04590	ydbS
NP_388341.1	BSU04600	ydbT
NP_388342.1	BSU04610	ydcA
NP_388343.1	BSU04620	acpS
NP_388344.2	BSU04630	ydcC
NP_388345.1	BSU04640	alrA
NP_388346.1	BSU04650	ndoAI
NP_388347.1	BSU04660	ndoA
NP_388348.1	BSU04670	rsbRA
NP_388349.1	BSU04680	rsbS
NP_388350.1	BSU04690	rsbT
NP_388351.1	BSU04700	rsbU
NP_388352.1	BSU04710	rsbV
NP_388353.1	BSU04720	rsbW
NP_388354.2	BSU04730	sigB
NP_388355.1	BSU04740	rsbX
YP_009513945.1	BSU04745	NODATA
NP_388356.1	BSU04750	ydcF
NP_388357.1	BSU04760	ydcG
NP_388358.1	BSU04770	ydcH
NP_388359.2	BSU04780	tex
YP_009513946.1	BSU04785	cmpA
NP_388360.1	BSU04790	ydcK
NP_388361.1	BSU04800	ydcL
NP_388362.1	BSU04810	immA
NP_388363.1	BSU04820	immR
NP_388364.1	BSU04830	xis
YP_003097681.1	BSU04839	ydzL
NP_388365.1	BSU04840	ydcO
YP_009513947.1	BSU04849	NODATA
NP_388366.1	BSU04850	helP
NP_388367.1	BSU04860	conQ
NP_388368.1	BSU04870	nicK
NP_388369.1	BSU04880	ydcS
NP_388370.1	BSU04890	ydcT
NP_388371.1	BSU04900	yddA
NP_388372.1	BSU04910	conB
NP_388373.1	BSU04920	conC
NP_388374.1	BSU04930	conD
NP_388375.3	BSU04940	conE
NP_388376.1	BSU04950	yddF
NP_388377.1	BSU04960	conG
NP_388378.1	BSU04970	cwlT
NP_388379.1	BSU04980	yddI
NP_388380.1	BSU04990	yddJ
NP_388381.1	BSU05000	yddK
NP_388382.1	BSU05010	rapI
NP_388383.1	BSU05020	phrI
NP_388384.1	BSU05030	yddM
NP_388385.1	BSU05040	yddN
NP_388386.1	BSU05050	lrpA
NP_388387.1	BSU05060	lrpB
NP_388388.1	BSU05070	yddQ
NP_388389.1	BSU05080	yddR
NP_388390.1	BSU05090	yddS
YP_003097682.1	BSU05099	ydzM
NP_388391.1	BSU05100	yddT
YP_003097683.1	BSU05109	ydzN
NP_388392.1	BSU05110	sufLC
NP_388393.1	BSU05120	cspC
NP_388394.1	BSU05130	cdnL
NP_388395.1	BSU05140	ydzE
NP_388396.1	BSU05150	ydeC
NP_388397.1	BSU05160	ydeD
NP_388398.1	BSU05170	ydeE
NP_388399.2	BSU05180	ydeF
NP_388400.1	BSU05190	ydeG
NP_388401.1	BSU05200	ydeH
NP_388402.1	BSU05210	ydeI
NP_388403.1	BSU05220	ydeJ
NP_388404.1	BSU05230	ydeK
NP_388405.1	BSU05240	ydeL
NP_388406.1	BSU05250	ydeM
NP_388407.1	BSU05260	ydeN
NP_388408.1	BSU05270	ydzF
NP_388409.1	BSU05280	ydeO
NP_388410.1	BSU05290	ydeP
NP_388411.1	BSU05300	ydeQ
NP_388412.1	BSU05310	ydeR
NP_388413.1	BSU05320	ydeS
YP_003097684.1	BSU05329	ydzO
NP_388414.1	BSU05330	aseR
NP_388415.1	BSU05340	arsF
NP_388416.1	BSU05350	ydfB
NP_388417.1	BSU05360	ydfC
NP_388418.1	BSU05370	ydfD
NP_388419.1	BSU05380	ydfE
NP_388420.1	BSU05390	ydfF
NP_388421.1	BSU05400	ydfG
YP_003097685.1	BSU05408	ydzP
YP_003097686.1	BSU05409	ydzQ
NP_388422.1	BSU05410	ydfH
NP_388423.1	BSU05420	ydfI
NP_388424.1	BSU05430	ydfJ
NP_388425.1	BSU05440	cesA
NP_388426.1	BSU05450	ydfK
NP_388427.1	BSU05460	ydfL
NP_388428.2	BSU05470	mneP
NP_388429.1	BSU05480	ydfN
NP_388430.1	BSU05490	ydfO
NP_388431.1	BSU05500	ydfP
NP_388432.1	BSU05510	ydfQ
NP_388433.1	BSU05520	ydzH
YP_003097687.1	BSU05529	ydzR
NP_388434.1	BSU05530	ydfR
NP_388435.1	BSU05540	ydfS
NP_388436.1	BSU05550	cotP
NP_388437.1	BSU05560	ydgA
NP_388438.1	BSU05570	ydgB
NP_388439.1	BSU05580	ydgC
NP_388440.1	BSU05590	ydgD
NP_388441.1	BSU05600	ydgE
NP_388442.1	BSU05610	vmlR
NP_388443.1	BSU05620	ydgF
NP_388444.1	BSU05630	dinB
NP_388445.1	BSU05640	ydgG
NP_388446.1	BSU05650	ydgH
NP_388447.1	BSU05660	ydgI
NP_388448.1	BSU05670	ydgJ
NP_388449.1	BSU05680	ydgK
NP_388450.2	BSU05690	ydhB
NP_388451.1	BSU05700	ydhC
NP_388452.2	BSU05710	spoL
NP_388453.2	BSU05720	ydhE
NP_388454.1	BSU05730	ydhF
NP_388455.2	BSU05740	phoB
NP_388456.1	BSU05750	fra
NP_388457.1	BSU05760	ydhH
NP_388458.1	BSU05770	ydhI
NP_388459.1	BSU05780	ydhJ
NP_388460.1	BSU05790	ydhK
NP_388461.2	BSU05800	pbuE
NP_388462.1	BSU05810	gmuB
NP_388463.2	BSU05820	gmuA
NP_388464.1	BSU05830	gmuC
NP_388465.1	BSU05840	gmuD
NP_388466.1	BSU05850	gmuR
NP_388467.1	BSU05860	gmuE
NP_388468.1	BSU05870	gmuF
NP_388469.2	BSU05880	gmuG
NP_388471.1	BSU05900	thiL
NP_388472.1	BSU05910	tsaE
NP_388473.1	BSU05920	tsaB
NP_388474.1	BSU05930	rimI
NP_388475.1	BSU05940	tsaD
NP_388476.2	BSU05950	ydiF
NP_388477.1	BSU05960	moaC
NP_388478.1	BSU05970	rex
NP_388479.1	BSU05980	tatAY
NP_388480.1	BSU05990	tatCY
NP_388481.1	BSU06000	ydiK
NP_388482.1	BSU06010	ydiL
NP_388483.2	BSU06020	groES
NP_388484.1	BSU06030	groEL
NP_388485.1	BSU06040	ydiM
YP_003097688.1	BSU06048	ydzU
NP_388487.1	BSU06060	bsuMA
NP_388488.1	BSU06070	bsuMB
NP_388490.1	BSU06090	bsuRA
NP_388491.1	BSU06100	bsuRB
NP_388492.1	BSU06110	bsuRC
NP_388493.1	BSU06120	ydjB
NP_388494.1	BSU06130	ydjC
NP_388495.1	BSU06140	gutR
NP_388496.1	BSU06150	gutB
NP_388497.1	BSU06160	gutP
NP_388498.1	BSU06170	ydjE
NP_388499.1	BSU06180	pspA
NP_388500.1	BSU06190	ydjG
NP_388501.1	BSU06200	ydjH
NP_388502.1	BSU06210	ydjI
NP_388503.1	BSU06220	ydjJ
NP_388504.1	BSU06230	iolT
NP_388505.1	BSU06240	bdhA
NP_388506.1	BSU06250	walM
NP_388507.1	BSU06260	ydjN
YP_003097689.1	BSU06269	ydzJ
NP_388508.1	BSU06270	ydjO
NP_388509.1	BSU06280	ydjP
NP_388510.1	BSU06290	yeaA
NP_388511.1	BSU06300	cotA
NP_388512.2	BSU06310	gabP
YP_003097690.1	BSU06319	ydzX
NP_388513.1	BSU06320	mneS
NP_388514.2	BSU06330	yeaC
NP_388515.2	BSU06340	yeaD
NP_388516.2	BSU06350	yebA
NP_388517.2	BSU06360	guaA
NP_388518.1	BSU06370	pbuG
NP_388519.2	BSU06380	yebC
NP_388520.3	BSU06390	yebD
NP_388521.2	BSU06400	yebE
NP_388523.1	BSU06410	yebG
NP_388524.1	BSU06420	purE
NP_388525.2	BSU06430	purK
NP_388526.1	BSU06440	purB
NP_388527.1	BSU06450	purC
NP_388528.1	BSU06460	purS
NP_388529.1	BSU06470	purQ
NP_388530.2	BSU06480	purL
NP_388531.2	BSU06490	purF
NP_388532.2	BSU06500	purM
NP_388533.2	BSU06510	purN
NP_388534.2	BSU06520	purH
NP_388535.1	BSU06530	purD
NP_388536.2	BSU06540	yezC
NP_388537.2	BSU06550	yecA
YP_003097691.1	BSU06559	yezF
NP_388538.1	BSU06560	yerA
NP_388539.1	BSU06570	yerB
NP_388540.1	BSU06580	yerC
NP_388541.1	BSU06590	yerD
NP_388542.1	BSU06600	pcrB
NP_388543.1	BSU06610	pcrA
NP_388544.1	BSU06620	ligA
NP_388545.1	BSU06630	yerH
NP_388546.1	BSU06640	yerI
NP_388547.1	BSU06650	sapB
NP_388548.1	BSU06660	opuE
NP_388549.1	BSU06670	gatC
NP_388550.1	BSU06680	gatA
NP_388551.2	BSU06690	gatB
NP_388552.1	BSU06700	yerO
NP_388553.2	BSU06710	srfP
NP_388554.1	BSU06720	dagK
NP_388555.1	BSU06730	rlmCD
NP_388556.1	BSU06740	yefB
NP_388557.2	BSU06750	yefC
NP_388558.1	BSU06760	yeeA
NP_388559.2	BSU06770	yeeB
NP_388560.2	BSU06780	yeeC
NP_388561.1	BSU06790	yeeD
NP_388562.1	BSU06800	yezA
YP_003097692.1	BSU06811	yezG
NP_388563.2	BSU06812	yeeF
NP_388564.2	BSU06820	yeeG
NP_388565.2	BSU06830	rapH
YP_003097693.1	BSU06839	phrH
NP_388566.3	BSU06840	yeeI
NP_388567.2	BSU06850	cotK
YP_054572.1	BSU06860	yezE
NP_388568.1	BSU06870	yesE
NP_388569.1	BSU06880	yesF
NP_388570.1	BSU06890	cotJA
NP_388571.2	BSU06900	cotJB
NP_388572.1	BSU06910	cotJC
NP_388573.1	BSU06920	yesJ
NP_388574.2	BSU06930	yesK
NP_388575.1	BSU06940	yesL
NP_388576.1	BSU06950	yesM
NP_388577.1	BSU06960	yesN
NP_388578.2	BSU06970	yesO
NP_388579.1	BSU06980	rhgP
NP_388580.1	BSU06990	rhgQ
NP_388581.1	BSU07000	rhgH
NP_388582.1	BSU07010	rhgR
NP_388583.1	BSU07020	rhgT
NP_388584.1	BSU07030	yesU
NP_388585.1	BSU07040	yesV
NP_388586.1	BSU07050	rhgW
NP_388587.1	BSU07060	rhgX
NP_388588.1	BSU07070	yesY
NP_388589.1	BSU07080	rhgZ
NP_388590.2	BSU07090	yetA
NP_388591.1	BSU07100	lplA
NP_388592.1	BSU07110	lplB
NP_388593.1	BSU07120	lplC
NP_388594.1	BSU07130	lplD
NP_388595.1	BSU07140	yetF
NP_388596.2	BSU07150	hmoA
NP_388597.1	BSU07160	yetH
NP_388600.1	BSU07190	yezD
NP_388601.1	BSU07200	calJ
NP_388602.1	BSU07210	yetK
NP_388603.1	BSU07220	flvL
NP_388604.1	BSU07230	flvM
NP_388605.1	BSU07240	yetN
NP_388606.1	BSU07250	cypD
NP_388607.2	BSU07260	ltaSA
NP_388608.1	BSU07270	spmH
NP_388609.2	BSU07280	spmG
NP_388610.1	BSU07290	yfnF
NP_388611.1	BSU07300	yfnE
NP_388612.1	BSU07310	yfnD
NP_388613.1	BSU07320	yfnC
NP_388614.1	BSU07330	pynN
