NP_459006.1	STM0001	thrL
NP_459075.1	STM0070	caiD
NP_459076.1	STM0071	caiC
NP_459077.1	STM0072	caiB
NP_459078.1	STM0073	caiA
NP_459079.1	STM0074	caiT
NP_459080.1	STM0075	fixA
NP_459081.1	STM0076	fixB
NP_459082.1	STM0077	fixC
NP_459083.1	STM0078	fixX
NP_459084.1	STM0079	yaaU
NP_459085.1	STM0080	NODATA
NP_459086.1	STM0081	NODATA
NP_459087.1	STM0082	NODATA
NP_446547.1	STM0083	NODATA
NP_459089.1	STM0084	NODATA
NP_459090.1	STM0085	yabF
NP_459091.1	STM0086	kefC
NP_459092.1	STM0087	folA
NP_459093.1	STM0088	apaH
NP_459094.1	STM0089	apaG
NP_459095.1	STM0090	ksgA
NP_459096.1	STM0091	pdxA
NP_459097.1	STM0092	surA
NP_459098.1	STM0093	imp
NP_459099.1	STM0094	djlA
NP_459100.1	STM0095	rluA
NP_459101.1	STM0096	hepA
NP_459102.1	STM0097	polB
NP_459103.1	STM0098	NODATA
NP_446563.1	STM0099	NODATA
NP_459105.1	STM0100	NODATA
NP_459106.1	STM0101	araD
NP_459107.1	STM0102	araA
NP_459108.1	STM0103	araB
NP_459109.1	STM0104	araC
NP_459110.1	STM0105	yabI
NP_459111.1	STM0106	yabJ
NP_459112.1	STM0107	yabK
NP_459113.1	STM0108	tbpA
NP_459114.1	STM0109	yabN
NP_459115.1	STM0110	leuD
NP_459116.1	STM0111	leuC
NP_459117.1	STM0112	leuB
NP_459118.1	STM0113	leuA
NP_459119.1	STM0114	leuL
NP_459120.1	STM0115	leuO
NP_459121.1	STM0116	ilvI
NP_459122.1	STM0117	ilvH
NP_459123.1	STM0118	fruR
NP_459124.1	STM0119	yabB
NP_459125.1	STM0120	yabC
NP_459126.1	STM0121	ftsL
NP_459127.1	STM0122	ftsI
NP_459128.1	STM0123	murE
NP_459129.1	STM0124	murF
NP_459130.1	STM0125	mraY
NP_459131.1	STM0126	murD
NP_459132.1	STM0127	ftsW
NP_459133.1	STM0128	murG
NP_459134.1	STM0129	murC
NP_459135.1	STM0130	ddlB
NP_459136.1	STM0131	ftsQ
NP_459137.1	STM0132	ftsA
NP_459138.1	STM0133	ftsZ
NP_459139.1	STM0134	lpxC
NP_459140.3	STM0135	yacA
NP_459141.1	STM0136	secA
NP_459142.1	STM0137	mutT
NP_459143.1	STM0138	yacG
NP_459144.1	STM0139	yacF
NP_459145.1	STM0140	yacE
NP_459146.1	STM0141	guaC
NP_459147.1	STM0142	hofC
NP_459148.1	STM0143	hofB
NP_459149.1	STM0144	ppdD
NP_459150.1	STM0145	nadC
NP_459151.1	STM0146	ampD
NP_459152.1	STM0147	ampE
NP_459153.1	STM0148	NODATA
NP_459154.1	STM0149	NODATA
NP_459155.1	STM0150	aroP
NP_459156.1	STM0151	pdhR
NP_459157.1	STM0152	aceE
NP_459158.2	STM0153	aceF
NP_459159.1	STM0154	lpdA
NP_459160.1	STM0155	NODATA
NP_459161.1	STM0156	NODATA
NP_459162.2	STM0157	yacH
NP_459163.1	STM0158	acnB
NP_459164.1	STM0159	NODATA
NP_459165.1	STM0160	yacL
NP_459166.1	STM0161	kdgT
NP_459167.1	STM0162	NODATA
NP_459168.1	STM0163	NODATA
NP_459169.1	STM0164	NODATA
NP_459170.1	STM0165	speD
NP_459171.1	STM0166	speE
NP_459172.1	STM0167	yacC
NP_459173.1	STM0168	cueO
NP_459174.1	STM0169	gcd
NP_459175.1	STM0170	hpt
NP_459176.1	STM0171	yadF
NP_459177.1	STM0172	yadG
NP_459178.1	STM0173	yadH
NP_459179.1	STM0174	stiH
NP_459180.1	STM0175	stiC
NP_459181.1	STM0176	stiB
NP_459182.1	STM0177	stiA
NP_459183.1	STM0178	yadI
NP_459184.1	STM0179	yadE
NP_459185.1	STM0180	panD
NP_459186.1	STM0181	panC
NP_459187.1	STM0182	panB
NP_459188.1	STM0183	folK
NP_459189.1	STM0184	pcnB
NP_459190.3	STM0185	yadB
NP_459191.1	STM0186	dksA
NP_459192.1	STM0187	sfsA
NP_459193.1	STM0188	ligT
NP_459194.1	STM0189	hrpB
NP_459195.1	STM0190	mrcB
NP_459196.1	STM0191	fhuA
NP_459197.1	STM0192	fhuC
NP_459198.1	STM0193	fhuD
NP_459199.1	STM0194	fhuB
NP_459200.1	STM0195	stfA
NP_459201.1	STM0196	stfC
NP_459202.1	STM0197	stfD
NP_459203.1	STM0198	stfE
NP_459204.1	STM0199	stfF
NP_459205.1	STM0200	stfG
NP_459206.1	STM0201	NODATA
NP_459207.1	STM0202	hemL
NP_459208.1	STM0203	yadQ
NP_459209.3	STM0204	yadR
NP_459210.1	STM0205	yadS
NP_459211.1	STM0206	btuF
NP_459212.1	STM0207	pfs
NP_459213.1	STM0208	dgt
NP_459214.1	STM0209	htrA
NP_459215.1	STM0210	cdaR
NP_459216.1	STM0211	yaeH
NP_459217.1	STM0212	NODATA
NP_459218.1	STM0213	dapD
NP_459219.1	STM0214	glnD
NP_459220.1	STM0215	map
NP_459221.1	STM0216	rpsB
NP_459222.1	STM0217	tsf
NP_459223.1	STM0218	pyrH
NP_459224.1	STM0219	frr
NP_459225.1	STM0220	dxr
NP_459226.1	STM0221	uppS
NP_459227.1	STM0222	cdsA
NP_459228.1	STM0223	yaeL
NP_459229.1	STM0224	yaeT
NP_459230.1	STM0225	hlpA
NP_459231.1	STM0226	lpxD
NP_459232.1	STM0227	fabZ
NP_459233.1	STM0228	lpxA
NP_459234.1	STM0229	lpxB
NP_459235.1	STM0230	rnhB
NP_459236.1	STM0231	dnaE
NP_459237.1	STM0232	accA
NP_459238.1	STM0233	NODATA
NP_459239.1	STM0234	ldcC
NP_459240.1	STM0235	yaeR
NP_459241.1	STM0236	mesJ
NP_459242.1	STM0237	rof
NP_459243.1	STM0238	yaeP
NP_459244.1	STM0239	yaeQ
NP_459245.1	STM0240	yaeJ
NP_459246.1	STM0242	proS
NP_459247.1	STM0243	yaeB
NP_459248.1	STM0244	rcsF
NP_459249.1	STM0245	yaeC
NP_459250.1	STM0246	yaeE
NP_459251.1	STM0247	abc
NP_459252.1	STM0248	yaeD
NP_459253.1	STM0255	yafB
NP_459254.1	STM0256	yafC
NP_459255.1	STM0257	NODATA
NP_459256.1	STM0258	yafD
NP_459257.1	STM0259	yafE
NP_459258.1	STM0260	dniR
NP_459259.1	STM0261	gloB
NP_459260.1	STM0262	yafS
NP_459261.1	STM0263	rnhA
NP_459262.1	STM0264	dnaQ
NP_459263.1	STM0266	NODATA
NP_459264.1	STM0267	NODATA
NP_459265.1	STM0268	NODATA
NP_459266.1	STM0269	NODATA
NP_459267.1	STM0270	NODATA
NP_459268.1	STM0271	NODATA
NP_459269.1	STM0272	NODATA
NP_459270.1	STM0273	NODATA
NP_459271.1	STM0274	NODATA
NP_459272.1	STM0274A	NODATA
NP_459273.3	STM0275	NODATA
NP_459274.1	STM0276	NODATA
NP_459275.1	STM0277	NODATA
NP_459276.1	STM0278	NODATA
NP_459277.1	STM0279	NODATA
NP_459278.1	STM0280	NODATA
NP_459279.1	STM0281	NODATA
NP_459280.1	STM0282	NODATA
NP_459281.1	STM0283	NODATA
NP_459282.1	STM0284	NODATA
NP_459283.1	STM0285	NODATA
NP_459284.1	STM0286	NODATA
NP_459285.1	STM0287	NODATA
NP_459286.1	STM0288	NODATA
NP_459287.1	STM0289	NODATA
NP_459288.1	STM0290	NODATA
NP_459289.1	STM0291	NODATA
NP_459290.1	STM0292	NODATA
NP_459291.1	STM0293	NODATA
NP_459292.1	STM0294	NODATA
NP_459293.1	STM0295	NODATA
NP_446753.1	STM0296	NODATA
NP_459297.1	STM0299	safA
NP_459298.1	STM0300	safB
NP_459299.1	STM0301	safC
NP_459300.1	STM0302	safD
NP_459301.1	STM0303	ybeJ
NP_459302.1	STM0304	sinR
NP_459303.1	STM0305	NODATA
NP_459304.1	STM0306	NODATA
NP_459305.1	STM0307	NODATA
NP_459306.1	STM0308	yafV
NP_459307.1	STM0309	yafH
NP_459308.1	STM0310	ghmA
NP_459309.1	STM0311	yafJ
NP_459310.1	STM0312	yafK
NP_459311.1	STM0313	dinP
NP_459312.1	STM0315	prfH
NP_459313.1	STM0316	pepD
NP_459314.1	STM0317	gpt
NP_459315.1	STM0318	yafA
NP_459316.1	STM0319	crl
NP_459317.1	STM0320	phoE
NP_459318.1	STM0321	proB
NP_459319.1	STM0322	proA
NP_446779.1	STM0324	NODATA
NP_459321.1	STM0325	NODATA
NP_459322.1	STM0327	NODATA
NP_459323.3	STM0328	NODATA
NP_459324.1	STM0329	NODATA
NP_459325.1	STM0330	NODATA
NP_459326.1	STM0331	NODATA
NP_459327.1	STM0332	NODATA
NP_459328.1	STM0333	NODATA
NP_459329.1	STM0334	NODATA
NP_459330.1	STM0335	NODATA
NP_459331.1	STM0336	stbE
NP_459332.1	STM0337	stbD
NP_459333.1	STM0338	stbC
NP_459334.1	STM0339	stbB
NP_459335.1	STM0340	stbA
NP_459336.1	STM0341	NODATA
NP_459337.1	STM0342	NODATA
NP_459338.1	STM0343	NODATA
NP_459339.1	STM0344	NODATA
NP_459340.1	STM0345	NODATA
NP_459341.1	STM0346	NODATA
NP_459342.1	STM0347	NODATA
NP_459343.1	STM0348	NODATA
NP_459344.1	STM0349	NODATA
NP_459345.3	STM0350	NODATA
NP_459346.1	STM0351	NODATA
NP_459347.3	STM0352	NODATA
NP_459348.1	STM0353	NODATA
NP_459349.1	STM0354	NODATA
NP_459350.1	STM0355	NODATA
NP_459351.1	STM0356	NODATA
NP_459352.1	STM0357	mod
NP_459353.3	STM0358	res
NP_459354.1	STM0359	NODATA
NP_459355.1	STM0360	NODATA
NP_459356.1	STM0361	NODATA
NP_459357.2	STM0362	NODATA
NP_459358.1	STM0363	NODATA
NP_459359.1	STM0364	foxA
NP_459360.1	STM0365	yahN
NP_459361.1	STM0366	yahO
NP_459362.1	STM0367	prpR
NP_459363.1	STM0368	prpB
NP_459364.1	STM0369	prpC
NP_459365.1	STM0370	prpD
NP_459366.1	STM0371	prpE
NP_459367.1	STM0372	hemB
NP_459368.1	STM0373	yaiU
NP_459369.1	STM0374	yaiV
NP_459370.3	STM0375	ampH
NP_459371.1	STM0376	sbmA
NP_459372.1	STM0377	yaiW
NP_459373.1	STM0378	yaiY
NP_459374.1	STM0379	yaiZ
NP_459375.1	STM0380	ddlA
NP_459376.1	STM0381	NODATA
NP_459377.1	STM0382	NODATA
NP_459378.3	STM0383	yaiB
NP_459379.1	STM0384	psiF
NP_459380.1	STM0385	yaiC
NP_459381.1	STM0386	proC
NP_459382.1	STM0387	yaiI
NP_459383.1	STM0388	aroL
NP_459384.1	STM0389	yaiA
NP_459385.1	STM0390	aroM
NP_459386.1	STM0391	yaiE
NP_459387.1	STM0392	rdgC
NP_459388.1	STM0393	yajF
NP_459389.1	STM0394	araJ
NP_459390.1	STM0395	sbcC
NP_459391.1	STM0396	sbcD
NP_459392.1	STM0397	phoB
NP_459393.1	STM0398	phoR
NP_459394.1	STM0399	brnQ
NP_459395.1	STM0400	proY
NP_459396.1	STM0401	malZ
NP_459397.1	STM0402	NODATA
NP_459398.1	STM0403	yajB
NP_459399.1	STM0404	queA
NP_459400.1	STM0405	tgt
NP_459401.1	STM0406	yajC
NP_459402.1	STM0407	secD
NP_459403.1	STM0408	secF
NP_459404.1	STM0409	NODATA
NP_459405.1	STM0410	NODATA
NP_459406.1	STM0411	yajD
NP_446866.1	STM0412	NODATA
NP_459408.1	STM0413	tsx
NP_459409.1	STM0414	yajI
NP_459410.1	STM0415	ybaD
NP_459411.1	STM0416	ribD
NP_459412.1	STM0417	ribH
NP_459413.1	STM0418	nusB
NP_459414.1	STM0419	thiL
NP_459415.1	STM0420	pgpA
NP_459416.1	STM0421	yajO
NP_459417.1	STM0422	dxs
NP_459418.1	STM0423	ispA
NP_459419.1	STM0424	xseB
NP_459420.1	STM0425	thiI
NP_459421.1	STM0426	phnV
NP_459422.1	STM0427	phnU
NP_459423.1	STM0428	phnT
NP_459424.1	STM0429	phnS
NP_459425.1	STM0430	phnR
NP_459426.1	STM0431	phnW
NP_459427.1	STM0432	phnX
NP_459428.1	STM0433	thiJ
NP_459429.1	STM0434	apbA
NP_459430.3	STM0435	yajQ
NP_459431.3	STM0436	yajR
NP_446891.1	STM0436A	NODATA
NP_459433.1	STM0437	NODATA
NP_459434.1	STM0438	NODATA
NP_459435.1	STM0439	cyoE
NP_459436.1	STM0440	cyoD
NP_459437.1	STM0441	cyoC
NP_459438.1	STM0442	cyoB
NP_459439.1	STM0443	cyoA
NP_459440.1	STM0444	ampG
NP_459441.3	STM0445	yajG
NP_459442.1	STM0446	bolA
NP_459443.1	STM0447	tig
NP_459444.1	STM0448	clpP
NP_459445.1	STM0449	clpX
NP_459446.1	STM0450	lon
NP_459447.1	STM0451	hupB
NP_459448.1	STM0452	cypD
NP_459449.1	STM0453	ybaV
NP_459450.1	STM0454	ybaW
NP_459451.1	STM0455	ybaX
NP_459452.1	STM0456	ybaE
NP_459453.1	STM0457	cof
NP_459454.1	STM0458	NODATA
NP_459455.1	STM0459	ybaO
NP_459456.1	STM0460	mdlA
NP_459457.1	STM0461	mdlB
NP_459458.1	STM0462	glnK
NP_459459.1	STM0463	amtB
NP_459460.1	STM0464	tesB
NP_459461.1	STM0465	ybaY
NP_459462.1	STM0466	ybaZ
NP_459463.1	STM0468	ylaB
NP_459464.1	STM0469	rpmE2
NP_459465.1	STM0470	rpmJ2
NP_459466.1	STM0471	ylaC
NP_459467.1	STM0472	maa
NP_459468.1	STM0473	hha
NP_459469.1	STM0474	ybaJ
NP_459470.1	STM0475	acrB
NP_459471.1	STM0476	acrA
NP_459472.1	STM0477	acrR
NP_459473.1	STM0478	aefA
NP_459474.1	STM0479	NODATA
NP_459475.1	STM0480	ybaM
NP_459476.1	STM0481	priC
NP_459477.1	STM0482	ybaN
NP_459478.1	STM0483	apt
NP_459479.1	STM0484	dnaX
NP_459480.1	STM0485	ybaB
NP_459481.1	STM0486	recR
NP_459482.3	STM0487	htpG
NP_459483.1	STM0488	adk
NP_459484.1	STM0489	hemH
NP_459485.1	STM0490	aes
NP_459486.1	STM0491	gsk
NP_459487.1	STM0492	ybaL
NP_459488.1	STM0493	fsr
NP_459489.1	STM0494	ushA
NP_459490.1	STM0495	ybaK
NP_459491.1	STM0496	ybaP
NP_459492.1	STM0497	NODATA
NP_459493.1	STM0498	copA
NP_459494.1	STM0499	cueR
NP_459495.1	STM0500	ybbJ
NP_459496.1	STM0501	ybbK
NP_459497.1	STM0502	ybbL
NP_459498.1	STM0503	ybbM
NP_459499.1	STM0504	ybbN
NP_459500.1	STM0505	ybbO
NP_459501.1	STM0506	tesA
NP_459502.1	STM0507	ybbA
NP_459503.1	STM0508	ybbP
NP_459504.1	STM0509	NODATA
NP_459505.1	STM0510	sfbA
NP_459506.1	STM0511	sfbB
NP_459507.1	STM0512	sfbC
NP_459508.1	STM0513	ybbB
NP_459509.1	STM0514	ybbS
NP_459510.1	STM0515	allA
NP_459511.1	STM0516	allR
NP_459512.1	STM0517	gcl
NP_459513.1	STM0518	gip
NP_459514.1	STM0519	glxR
NP_459515.1	STM0520	NODATA
NP_459516.1	STM0521	ybbV
NP_459517.1	STM0522	allP
NP_459518.1	STM0523	allB
NP_459519.1	STM0524	ybbY
NP_459520.1	STM0525	glxK
NP_459521.1	STM0526	ylbA
NP_459522.1	STM0527	allC
NP_459523.1	STM0528	allD
NP_459524.1	STM0529	fdrA
NP_459525.1	STM0530	ylbE
NP_459526.1	STM0531	ylbF
NP_459527.1	STM0532	arcC
NP_459528.1	STM0533	purK
NP_459529.1	STM0534	purE
NP_459530.1	STM0535	lpxH
NP_459531.1	STM0536	ppiB
NP_459532.1	STM0537	cysS
NP_459533.1	STM0538	NODATA
NP_459534.1	STM0539	NODATA
NP_459535.1	STM0540	ybcI
NP_459536.1	STM0541	ybcJ
NP_459537.1	STM0542	folD
NP_459538.3	STM0543	fimA
NP_459539.1	STM0544	fimI
NP_459540.1	STM0545	fimC
NP_459541.1	STM0546	fimD
NP_459542.1	STM0547	fimH
NP_459543.1	STM0548	fimF
NP_459544.1	STM0549	fimZ
NP_459545.1	STM0550	fimY
NP_459546.1	STM0551	NODATA
NP_459547.1	STM0552	fimW
NP_459548.1	STM0554	NODATA
NP_459550.1	STM0557	NODATA
NP_459551.1	STM0558	yfdH
NP_459552.1	STM0559	rfbI
NP_459553.1	STM0561	NODATA
NP_447013.1	STM0562	NODATA
NP_459555.1	STM0563	NODATA
NP_459556.1	STM0564	NODATA
NP_459557.1	STM0565	NODATA
NP_459558.1	STM0566	NODATA
NP_459559.1	STM0567	NODATA
NP_459560.1	STM0568	pheP
NP_459561.1	STM0569	ybdG
NP_459562.1	STM0570	apeE
NP_459563.1	STM0571	NODATA
NP_459564.1	STM0572	NODATA
NP_459565.1	STM0573	NODATA
NP_459566.1	STM0574	NODATA
NP_459567.1	STM0575	NODATA
NP_459568.1	STM0576	NODATA
NP_459569.1	STM0577	NODATA
NP_459570.1	STM0578	nfnB
NP_459571.1	STM0579	ybdF
NP_459572.1	STM0580	NODATA
NP_459573.1	STM0581	NODATA
NP_459574.1	STM0582	ybdJ
NP_459575.1	STM0583	ybdK
NP_459576.1	STM0584	entD
NP_459577.1	STM0585	fepA
NP_459578.1	STM0586	fes
NP_459579.1	STM0587	ybdZ
NP_459580.1	STM0588	entF
NP_459581.1	STM0589	fepE
NP_459582.1	STM0590	fepC
NP_459583.1	STM0591	fepG
NP_459584.1	STM0592	fepD
NP_459585.1	STM0593	ybdA
NP_459586.1	STM0594	fepB
NP_459587.1	STM0595	entC
NP_459588.1	STM0596	entE
NP_459589.1	STM0597	entB
NP_459590.1	STM0598	entA
NP_459591.1	STM0599	ybdB
NP_459592.1	STM0600	cstA
NP_459593.1	STM0601	ybdD
NP_459594.1	STM0602	ybdH
NP_459595.1	STM0603	ybdL
NP_459596.1	STM0604	ybdM
NP_459597.1	STM0605	ybdN
NP_459598.1	STM0606	ybdO
NP_459599.1	STM0607	dsbG
NP_459600.1	STM0608	ahpC
NP_459601.1	STM0609	ahpF
NP_459602.1	STM0610	NODATA
NP_459603.1	STM0611	NODATA
NP_459604.1	STM0612	NODATA
NP_459605.1	STM0613	NODATA
NP_459606.1	STM0614	ybdQ
NP_459607.1	STM0615	ybdR
NP_459608.1	STM0616	rnk
NP_459609.1	STM0617	rna
NP_459610.1	STM0618	citT
NP_459611.1	STM0619	citG
NP_459612.1	STM0620	citX
NP_459613.1	STM0621	citF
NP_459614.1	STM0622	citE
NP_459615.1	STM0623	citD
NP_459616.1	STM0624	citC
NP_459617.1	STM0625	dpiB
NP_459618.1	STM0626	dpiA
NP_459619.1	STM0627	dcuC
NP_459620.1	STM0628	pagP
NP_459621.1	STM0629	cspE
NP_459622.1	STM0630	crcB
NP_459623.1	STM0631	ybeM
NP_459624.1	STM0632	ybeC
NP_459625.1	STM0633	lipA
NP_459626.1	STM0634	ybeF
NP_459627.3	STM0635	lipB
NP_459628.1	STM0636	ybeD
NP_459629.1	STM0637	dacA
NP_459630.1	STM0638	rlpA
NP_459631.1	STM0639	mrdB
NP_459632.1	STM0640	mrdA
NP_459633.1	STM0641	ybeA
NP_459634.1	STM0642	ybeB
NP_459635.1	STM0643	cobC
NP_459636.1	STM0644	cobD
NP_459637.1	STM0645	nadD
NP_459638.1	STM0646	holA
NP_459639.1	STM0647	rlpB
NP_459640.1	STM0648	leuS
NP_447100.1	STM0649	NODATA
NP_447101.1	STM0650	NODATA
NP_459643.1	STM0651	NODATA
NP_459644.1	STM0652	NODATA
NP_459645.1	STM0653	ybeL
NP_459646.1	STM0654	ybeQ
NP_459647.1	STM0655	ybeR
NP_459648.1	STM0656	ybeS
NP_459649.1	STM0657	ybeU
NP_459650.1	STM0658	ybeV
NP_459651.1	STM0659	hscC
NP_459652.1	STM0660	NODATA
NP_459653.1	STM0661	ybeK
NP_459654.1	STM0662	gltL
NP_459655.1	STM0663	gltK
NP_459656.1	STM0664	gltJ
NP_459657.1	STM0665	gltI
NP_459658.1	STM0666	lnt
NP_459659.1	STM0667	ybeX
NP_459660.1	STM0668	ybeY
NP_459661.3	STM0669	phoL
NP_459662.1	STM0670	miaB
NP_459663.1	STM0671	ubiF
NP_459664.1	STM0672	NODATA
NP_459665.1	STM0680	asnB
NP_459666.1	STM0681	nagD
NP_459667.1	STM0682	nagC
NP_459668.1	STM0683	nagA
NP_459669.1	STM0684	nagB
NP_459670.1	STM0685	nagE
NP_459671.1	STM0686	glnS
NP_459672.1	STM0687	ybfM
NP_459673.1	STM0688	ybfN
NP_459674.1	STM0689	citA
NP_459675.1	STM0690	citB
NP_459676.1	STM0691	NODATA
NP_459677.1	STM0692	NODATA
NP_459678.1	STM0693	fur
NP_459679.1	STM0694	fldA
NP_459680.1	STM0695	ybfE
NP_459681.1	STM0696	ybfF
NP_459682.1	STM0697	seqA
NP_459683.1	STM0698	pgm
NP_459684.1	STM0699	NODATA
NP_459685.1	STM0700	potE
NP_459686.1	STM0701	speF
NP_459687.1	STM0702	kdpE
NP_459688.1	STM0703	kdpD
NP_459689.1	STM0704	kdpC
NP_459690.1	STM0705	kdpB
NP_459691.1	STM0706	kdpA
NP_459692.1	STM0707	NODATA
NP_459693.1	STM0708	ybfA
NP_459694.1	STM0709	phrB
NP_459695.1	STM0710	ybgH
NP_459696.1	STM0711	ybgI
NP_459697.1	STM0712	ybgJ
NP_459698.1	STM0713	ybgK
NP_459699.1	STM0714	ybgL
NP_459700.1	STM0715	NODATA
NP_459701.1	STM0716	NODATA
NP_459702.1	STM0717	NODATA
NP_459703.1	STM0718	NODATA
NP_459704.1	STM0719	NODATA
NP_459705.1	STM0720	NODATA
NP_459706.1	STM0721	NODATA
NP_459707.1	STM0722	NODATA
NP_459708.1	STM0723	NODATA
NP_459709.1	STM0724	NODATA
NP_459710.1	STM0725	NODATA
NP_459711.1	STM0726	NODATA
NP_459712.1	STM0727	NODATA
NP_459713.1	STM0728	nei
NP_459714.1	STM0729	abrB
NP_459715.1	STM0730	gltA
NP_459716.1	STM0731	NODATA
NP_459717.1	STM0732	sdhC
NP_459718.1	STM0733	sdhD
NP_459719.1	STM0734	sdhA
NP_459720.1	STM0735	sdhB
NP_459721.1	STM0736	sucA
NP_459722.1	STM0737	sucB
NP_459723.1	STM0738	sucC
NP_459724.1	STM0739	sucD
NP_459725.1	STM0740	cydA
NP_459726.1	STM0741	cydB
NP_459727.1	STM0742	ybgT
NP_459728.1	STM0743	ybgE
NP_459729.1	STM0744	ybgC
NP_459730.1	STM0745	tolQ
NP_459731.1	STM0746	tolR
NP_459732.1	STM0747	tolA
NP_459733.1	STM0748	tolB
NP_459734.1	STM0749	pal
NP_459735.1	STM0750	ybgF
NP_459736.1	STM0756	nadA
NP_459737.1	STM0757	pnuC
NP_459738.1	STM0758	ybgR
NP_459739.1	STM0759	ybgS
NP_459740.1	STM0760	aroG
NP_459741.1	STM0761	NODATA
NP_459742.1	STM0762	NODATA
NP_459743.3	STM0763	NODATA
NP_459744.1	STM0764	NODATA
NP_459745.1	STM0765	NODATA
NP_459746.1	STM0766	dcoC
NP_459747.1	STM0768	dcoB
NP_459748.1	STM0769	NODATA
NP_459749.1	STM0770	NODATA
NP_459750.1	STM0771	NODATA
NP_459751.1	STM0772	gpmA
NP_459752.1	STM0773	galM
NP_459753.1	STM0774	galK
NP_459754.1	STM0775	galT
NP_459755.1	STM0776	galE
NP_459756.1	STM0777	NODATA
NP_459757.1	STM0778	modF
NP_459758.1	STM0779	modE
NP_459759.1	STM0780	NODATA
NP_459760.1	STM0781	modA
NP_459761.1	STM0782	modB
NP_459762.1	STM0783	modC
NP_459763.1	STM0784	ybhA
NP_459764.1	STM0785	ybhE
NP_459765.1	STM0786	ybhC
NP_459766.1	STM0787	hutI
NP_459767.1	STM0788	hutG
NP_459768.1	STM0789	hutC
NP_459769.1	STM0791	hutH
NP_459770.1	STM0792	ybhB
NP_459771.1	STM0793	bioA
NP_459772.1	STM0794	bioB
NP_459773.1	STM0795	bioF
NP_459774.1	STM0796	bioC
NP_459775.1	STM0797	bioD
NP_459776.1	STM0798	uvrB
NP_447236.1	STM0799	NODATA
NP_459778.1	STM0800	slrP
NP_459779.1	STM0801	ybhK
NP_459780.1	STM0802	moaA
NP_459781.1	STM0803	moaB
NP_459782.1	STM0804	moaC
NP_459783.3	STM0805	moaD
NP_459784.1	STM0806	moaE
NP_459785.1	STM0807	ybhL
NP_459786.1	STM0808	ybhM
NP_459787.1	STM0809	NODATA
NP_459788.1	STM0810	NODATA
NP_459789.1	STM0811	ybhN
NP_459790.1	STM0812	ybhO
NP_459791.1	STM0813	ybhP
NP_459792.1	STM0814	ybhQ
NP_459793.1	STM0815	ybhR
NP_459794.1	STM0816	ybhS
NP_459795.1	STM0817	ybhF
NP_459796.1	STM0818	NODATA
NP_459797.1	STM0819	ybiH
NP_459798.1	STM0820	rhlE
NP_459799.1	STM0821	dinG
NP_459800.1	STM0822	ybiB
NP_459801.1	STM0823	ybiJ
NP_459802.1	STM0825	ybiI
NP_459803.1	STM0826	ybiN
NP_459804.1	STM0827	ybiO
NP_459805.1	STM0828	glnQ
NP_459806.1	STM0829	glnP
NP_459807.1	STM0830	glnH
NP_459808.1	STM0831	dps
NP_459809.1	STM0832	ybiF
